profile_link,language
https://www.whitecase.com/people/katy-lau,Mandarin
https://www.whitecase.com/people/katy-lau,English
https://www.whitecase.com/people/katy-lau,French
https://www.whitecase.com/people/hayley-law,English
https://www.whitecase.com/people/hayley-law,Mandarin
https://www.whitecase.com/people/hayley-law,Cantonese
https://www.whitecase.com/people/ivan-lee,English
https://www.whitecase.com/people/ivan-lee,Cantonese
https://www.whitecase.com/people/ivan-lee,Mandarin
https://www.whitecase.com/people/sabrina-lee,English
https://www.whitecase.com/people/sabrina-lee,Cantonese
https://www.whitecase.com/people/sabrina-lee,Mandarin
https://www.whitecase.com/people/vincent-lee,English
https://www.whitecase.com/people/vincent-lee,Mandarin
https://www.whitecase.com/people/vincent-lee,Taiwanese
https://www.whitecase.com/people/aurora-leung,English
https://www.whitecase.com/people/aurora-leung,Cantonese
https://www.whitecase.com/people/aurora-leung,Mandarin
https://www.whitecase.com/people/hilda-leung,English
https://www.whitecase.com/people/hilda-leung,Cantonese
https://www.whitecase.com/people/hilda-leung,Mandarin
https://www.whitecase.com/people/wilson-leung,English
https://www.whitecase.com/people/wilson-leung,Mandarin
https://www.whitecase.com/people/wilson-leung,Cantonese
https://www.whitecase.com/people/bob-li,English
https://www.whitecase.com/people/bob-li,Mandarin
https://www.whitecase.com/people/xiang-li,English
https://www.whitecase.com/people/xiang-li,Mandarin
https://www.whitecase.com/people/hazel-lim,English
https://www.whitecase.com/people/hazel-lim,Mandarin
https://www.whitecase.com/people/rebecca-ling,English
https://www.whitecase.com/people/cong-liu,English
https://www.whitecase.com/people/cong-liu,Mandarin
https://www.whitecase.com/people/tianren-liu,English
https://www.whitecase.com/people/tianren-liu,Mandarin
https://www.whitecase.com/people/shifeng-ni,English
https://www.whitecase.com/people/shifeng-ni,Mandarin
https://www.whitecase.com/people/chunlei-pang,Mandarin
https://www.whitecase.com/people/chunlei-pang,English
https://www.whitecase.com/people/florence-poon,English
https://www.whitecase.com/people/florence-poon,Mandarin
https://www.whitecase.com/people/florence-poon,Cantonese
https://www.whitecase.com/people/frank-shu,English
https://www.whitecase.com/people/frank-shu,Mandarin
https://www.whitecase.com/people/esther-so,English
https://www.whitecase.com/people/esther-so,Cantonese
https://www.whitecase.com/people/esther-so,Mandarin
https://www.whitecase.com/people/natalie-so,English
https://www.whitecase.com/people/natalie-so,Cantonese
https://www.whitecase.com/people/natalie-so,Mandarin
https://www.whitecase.com/people/jin-yu-tan,English
https://www.whitecase.com/people/jin-yu-tan,Mandarin
https://www.whitecase.com/people/jeff-wang,English
https://www.whitecase.com/people/jeff-wang,Mandarin
https://www.whitecase.com/people/matthew-weetman,English
https://www.whitecase.com/people/yuiyee-wong,English
https://www.whitecase.com/people/yuiyee-wong,Cantonese
https://www.whitecase.com/people/yuiyee-wong,Mandarin
https://www.whitecase.com/people/yan-yan,English
https://www.whitecase.com/people/yan-yan,Mandarin
https://www.whitecase.com/people/charisa-yeung,English
https://www.whitecase.com/people/dawn-ying,English
https://www.whitecase.com/people/dawn-ying,Mandarin
https://www.whitecase.com/people/dawn-ying,Cantonese
https://www.whitecase.com/people/fangzhou-ying,English
https://www.whitecase.com/people/fangzhou-ying,Mandarin
https://www.whitecase.com/people/olivia-yiu,English
https://www.whitecase.com/people/olivia-yiu,Cantonese
https://www.whitecase.com/people/olivia-yiu,Mandarin
https://www.whitecase.com/people/eva-yu,Cantonese
https://www.whitecase.com/people/eva-yu,English
https://www.whitecase.com/people/eva-yu,Mandarin
https://www.whitecase.com/people/nina-yu,English
https://www.whitecase.com/people/nina-yu,Mandarin
https://www.whitecase.com/people/cherry-zhou,English
https://www.whitecase.com/people/cherry-zhou,Mandarin
https://www.whitecase.com/people/charlie-zhu,English
https://www.whitecase.com/people/charlie-zhu,Mandarin
https://www.whitecase.com/people/lin-li,English
https://www.whitecase.com/people/lin-li,Mandarin
https://www.whitecase.com/people/alice-ma,English
https://www.whitecase.com/people/alice-ma,Mandarin
https://www.whitecase.com/people/amy-yang,English
https://www.whitecase.com/people/amy-yang,Mandarin
https://www.whitecase.com/people/jennifer-parks,English
https://www.whitecase.com/people/michael-turrini,English
https://www.whitecase.com/people/payvand-vahdat,English
https://www.whitecase.com/people/payvand-vahdat,Farsi
https://www.whitecase.com/people/anne-wicks,English
https://www.whitecase.com/people/anne-wicks,German
https://www.whitecase.com/people/verena-gross,German
https://www.whitecase.com/people/verena-gross,English
https://www.whitecase.com/people/verena-gross,French
https://www.whitecase.com/people/mohammed-basama,English
https://www.whitecase.com/people/mohammed-basama,Arabic
https://www.whitecase.com/people/farah-haidar,Arabic
https://www.whitecase.com/people/farah-haidar,French
https://www.whitecase.com/people/farah-haidar,English
https://www.whitecase.com/people/yannick-adler,German
https://www.whitecase.com/people/yannick-adler,English
https://www.whitecase.com/people/jochen-artzinger-bolten,German
https://www.whitecase.com/people/jochen-artzinger-bolten,English
https://www.whitecase.com/people/bodo-bender,German
https://www.whitecase.com/people/bodo-bender,English
https://www.whitecase.com/people/henning-berger,German
https://www.whitecase.com/people/henning-berger,English
https://www.whitecase.com/people/henning-berger,French
https://www.whitecase.com/people/stefan-bressler,German
https://www.whitecase.com/people/stefan-bressler,English
https://www.whitecase.com/people/markus-burianski,German
https://www.whitecase.com/people/markus-burianski,English
https://www.whitecase.com/people/markus-burianski,French
https://www.whitecase.com/people/thomas-burmeister,German
https://www.whitecase.com/people/thomas-burmeister,English
https://www.whitecase.com/people/darragh-byrne,English
https://www.whitecase.com/people/darragh-byrne,Swedish
https://www.whitecase.com/people/darragh-byrne,French
https://www.whitecase.com/people/biner-bahr,German
https://www.whitecase.com/people/biner-bahr,English
https://www.whitecase.com/people/nils-clemm,German
https://www.whitecase.com/people/nils-clemm,English
https://www.whitecase.com/people/murad-daghles,German
https://www.whitecase.com/people/murad-daghles,English
https://www.whitecase.com/people/murad-daghles,Arabic
