profile_link,education
https://www.whitecase.com/people/jeremie-jourdan,LLM College of Europe
https://www.whitecase.com/people/jeremie-jourdan,Master Business law Paris IX University (Dauphine)
https://www.whitecase.com/people/jeremie-jourdan,"Magistere BFA (Master's degree), Economics and Finance Paris IX University (Dauphine)"
https://www.whitecase.com/people/james-killick,Licence speciale en Droit europeen University of Brussels
https://www.whitecase.com/people/james-killick,LLM University of Cambridge
https://www.whitecase.com/people/james-killick,BA University of Cambridge
https://www.whitecase.com/people/assimakis-komninos,PhD European University Institute Italy
https://www.whitecase.com/people/assimakis-komninos,LLM New York University School of Law USA
https://www.whitecase.com/people/assimakis-komninos,"LLM Trinity College University of Cambridge, UK"
https://www.whitecase.com/people/assimakis-komninos,LLB University of Athens Greece
https://www.whitecase.com/people/tilman-kuhn,Dr jur University of Cologne
https://www.whitecase.com/people/tilman-kuhn,Second State Exam State of Northrhine-Westphalia
https://www.whitecase.com/people/tilman-kuhn,LLM University of Amsterdam
https://www.whitecase.com/people/tilman-kuhn,First State Exam Higher Regional Court of Cologne
https://www.whitecase.com/people/jacquelyn-maclennan,Diploma in Legal Practice University of Edinburgh
https://www.whitecase.com/people/jacquelyn-maclennan,LLB (Hons) University of Edinburgh
https://www.whitecase.com/people/mark-powell,Final Diploma in Portuguese Language and Literature University of Coimbra
https://www.whitecase.com/people/mark-powell,Professional Practising Certificate College of Law Chester
https://www.whitecase.com/people/mark-powell,LLB University of Lancaster
https://www.whitecase.com/people/strati-sakellariou-witt,LLM New York University School of Law
https://www.whitecase.com/people/strati-sakellariou-witt,LLM University of Athens
https://www.whitecase.com/people/strati-sakellariou-witt,LLB University of Athens
https://www.whitecase.com/people/strati-sakellariou-witt,University of Salamanca
https://www.whitecase.com/people/axel-schulz,"LLM European Law College of Europe, Bruges"
https://www.whitecase.com/people/axel-schulz,Law Degree University of Konstanz
https://www.whitecase.com/people/axel-schulz,Diploma University of Lyon
https://www.whitecase.com/people/hadrien-servais,LLM 1st in class New York University
https://www.whitecase.com/people/hadrien-servais,"Degree in Law, summa cum laude Catholic University of Louvain Belgium"
https://www.whitecase.com/people/thomas-glauden,LLM International Business and Commercial Law King's College London
https://www.whitecase.com/people/thomas-glauden,Master of Laws Universite Libre de Bruxelles
https://www.whitecase.com/people/thomas-glauden,Erasmus Universiteit van Amsterdam
https://www.whitecase.com/people/thomas-glauden,Bachelor of Laws Universite Libre de Bruxelles
https://www.whitecase.com/people/christophe-goossens,Special degree in tax law Universite Libre de Bruxelles
https://www.whitecase.com/people/christophe-goossens,Law Degree Universite Libre de Bruxelles
https://www.whitecase.com/people/alexandra-rogers,"LLM European Law College of Europe, Bruges"
https://www.whitecase.com/people/alexandra-rogers,LPC College of Law in Chester
https://www.whitecase.com/people/alexandra-rogers,LLB University of Durham
https://www.whitecase.com/people/kai-struckmann,Second State Examination in Law Judicial Examining Board of Berlin
https://www.whitecase.com/people/kai-struckmann,Master of Law in European Law University of Nottingham
https://www.whitecase.com/people/kai-struckmann,Judicial Examining Board of Lower Saxony First State Examination in Law
https://www.whitecase.com/people/olivier-vanhulst,Master of Laws Vrije Universiteit Brussel
https://www.whitecase.com/people/olivier-vanhulst,Erasmus University of Copenhagen
https://www.whitecase.com/people/olivier-vanhulst,Bachelor of Laws Vrije Universiteit Brussel
https://www.whitecase.com/people/christoph-arhold,Second State Exam Higher Regional Court of Saarbrucken
https://www.whitecase.com/people/christoph-arhold,First State Exam University of Saarland
https://www.whitecase.com/people/nicholas-forwood,Bachelor's Degree Mechanical Sciences Cambridge University
https://www.whitecase.com/people/nicholas-forwood,Law Degree Cambridge University
https://www.whitecase.com/people/charles-julien,"Masters in International Law Universite Pantheon-Sorbonne Visiting Researcher, Harvard Law School"
https://www.whitecase.com/people/charles-julien,Masters in Comparative Law Universite Pantheon-Assas
https://www.whitecase.com/people/charles-julien,JD Universite Pantheon-Sorbonne
https://www.whitecase.com/people/richard-king,"JD The American University, Washington College of Law"
https://www.whitecase.com/people/richard-king,BA History Carleton College
https://www.whitecase.com/people/sara-nordin,LLM Chinese Law Hong Kong University
https://www.whitecase.com/people/sara-nordin,JD Brooklyn Law School
https://www.whitecase.com/people/sara-nordin,BA Political Science and Media Hunter College NY
https://www.whitecase.com/people/willem-van-de-wiele,LLM New York University
https://www.whitecase.com/people/willem-van-de-wiele,Degree in Law Universiteit Gent
https://www.whitecase.com/people/fanny-abouzeid,"LLM College of Europe, Bruges"
https://www.whitecase.com/people/fanny-abouzeid,LLM University of Paris I Pantheon-Sorbonne
https://www.whitecase.com/people/fanny-abouzeid,LLM University of Paris II Pantheon-Assas & University College London
https://www.whitecase.com/people/geraldine-amory,Master of Laws Universite Catholique de Louvain-la-Neuve
https://www.whitecase.com/people/geraldine-amory,Erasmus Universidade de Lisboa
