profile_link,bar_court
https://www.whitecase.com/people/charisa-yeung,Solicitor of England and Wales
https://www.whitecase.com/people/dawn-ying,Solicitor of the High Court of Hong Kong
https://www.whitecase.com/people/fangzhou-ying,"Registered Foreign Lawyer, Hong Kong"
https://www.whitecase.com/people/fangzhou-ying,New York State Bar
https://www.whitecase.com/people/olivia-yiu,New York State Bar
https://www.whitecase.com/people/olivia-yiu,Solicitor of the High Court of Hong Kong
https://www.whitecase.com/people/eva-yu,Solicitor of the High Court of Hong Kong
https://www.whitecase.com/people/nina-yu,New York State Bar
https://www.whitecase.com/people/cherry-zhou,PRC Bar
https://www.whitecase.com/people/cherry-zhou,New York State Bar
https://www.whitecase.com/people/charlie-zhu,New York State Bar
https://www.whitecase.com/people/lin-li,New York State Bar
https://www.whitecase.com/people/alice-ma,PRC Bar
https://www.whitecase.com/people/amy-yang,"Certificate of Legal Professional Qualification, People's Republic of China"
https://www.whitecase.com/people/jennifer-parks,
https://www.whitecase.com/people/michael-turrini,Solicitor of England and Wales
https://www.whitecase.com/people/michael-turrini,High Court of Australia
https://www.whitecase.com/people/michael-turrini,Supreme Court of Queensland
https://www.whitecase.com/people/payvand-vahdat,"New South Wales, Australia"
https://www.whitecase.com/people/payvand-vahdat,High Court of Australia
https://www.whitecase.com/people/anne-wicks,Solicitor of England and Wales
https://www.whitecase.com/people/verena-gross,Rechtsanwaltin
https://www.whitecase.com/people/verena-gross,Paris Bar
https://www.whitecase.com/people/mohammed-basama,England and Wales
https://www.whitecase.com/people/farah-haidar,Paris Bar
https://www.whitecase.com/people/yannick-adler,New York State Bar
https://www.whitecase.com/people/jochen-artzinger-bolten,Solicitor (England and Wales)
https://www.whitecase.com/people/jochen-artzinger-bolten,Rechtsanwalt
https://www.whitecase.com/people/jochen-artzinger-bolten,"Attorney-at-Law, New York"
https://www.whitecase.com/people/bodo-bender,Rechtsanwalt
https://www.whitecase.com/people/henning-berger,Administrative Lawyer
https://www.whitecase.com/people/henning-berger,Rechtsanwalt
https://www.whitecase.com/people/stefan-bressler,Rechtsanwalt
https://www.whitecase.com/people/markus-burianski,Rechtsanwalt
https://www.whitecase.com/people/thomas-burmeister,Rechtsanwalt
https://www.whitecase.com/people/darragh-byrne,England and Wales
https://www.whitecase.com/people/darragh-byrne,Swedish Bar
https://www.whitecase.com/people/biner-bahr,Insolvency Lawyer
https://www.whitecase.com/people/biner-bahr,Rechtsanwalt
https://www.whitecase.com/people/nils-clemm,Rechtsanwalt
https://www.whitecase.com/people/murad-daghles,Rechtsanwalt
https://www.whitecase.com/people/florian-degenhardt,Rechtsanwalt
https://www.whitecase.com/people/thilo-diehl,Rechtsanwalt
https://www.whitecase.com/people/jan-ole-eichstadt,
https://www.whitecase.com/people/rebecca-emory,"Attorney-at-Law, New York"
https://www.whitecase.com/people/sylvia-fiebig,Insolvency Lawyer
https://www.whitecase.com/people/sylvia-fiebig,Rechtsanwaltin
https://www.whitecase.com/people/thomas-flatten,Rechtsanwalt
https://www.whitecase.com/people/detlev-gabel,Rechtsanwalt
https://www.whitecase.com/people/detlev-gabel,Fachanwalt fur Informationstechnologierecht
https://www.whitecase.com/people/carola-glasauer,Rechtsanwaltin
https://www.whitecase.com/people/oliver-habighorst,Tax Lawyer
https://www.whitecase.com/people/oliver-habighorst,Rechtsanwalt
https://www.whitecase.com/people/oliver-habighorst,"Notar, Notarkammer Frankfurt"
https://www.whitecase.com/people/philipp-hacklander,Rechtsanwalt
https://www.whitecase.com/people/tobias-heinrich,Rechtsanwalt
https://www.whitecase.com/people/thomas-helck,Rechtsanwalt
https://www.whitecase.com/people/dennis-heuer,Rechtsanwalt
